id,title
[0],Problemas comunes y soluciones en PostGreSQL
[1],¡PIP 10 ha sido liberado!
[2],Django solo
[3],Ejecutando Gists de Github en pythonanywhere
[4],PyCon Colombia 2018
[5],Herramienta CLI para PostGreSQL
[6],¿Que hay de nuevo en la versión Django 2.0?
[7],Presente y futuro del Big Data
[8],Mapas desde el admin Django
[9],Algoritmos de Búsqueda en Python
[10],5 Librerías python que te salvarán de la muerte matemática
[11],Aprende a crear proyectos SaaS utilizando Django Multi Tenants
[12],Plugin de JS para  Notepad++
[13],PythonDay MX 2017
[14],¿Por que usar un preprocesador css?
[15],Descargando videos de Youtube con Python
[16],Devcode Python Q&A
[17],Presúmenos tu proyecto
