id,title
[0],PyCon Colombia 2018
[1],Herramienta CLI para PostGreSQL
[2],¿Que hay de nuevo en la versión Django 2.0?
[3],Presente y futuro del Big Data
[4],Mapas desde el admin Django
[5],Algoritmos de Búsqueda en Python
[6],5 Librerías python que te salvarán de la muerte matemática
[7],Aprende a crear proyectos SaaS utilizando Django Multi Tenants
[8],Plugin de JS para  Notepad++
[9],PythonDay MX 2017
[10],¿Por que usar un preprocesador css?
[11],Descargando videos de Youtube con Python
[12],Devcode Python Q&A
[13],Presúmenos tu proyecto
[14],PyCaribbean 2017 - ¡Evento con sabor Puerto Rico!
[15],Pgadmin 4 - Rediseñado totalmente
[16],Elemento 'include' del template de Django
[17],Pythonizame Jobs
